,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
120,/apache/bookkeeper/client/LedgerOpenOp.java,17,171,5,0,90,1,1,0,17,105,0,8,0,0,0,1,bookkeeper,4.1.0
121,/apache/bookkeeper/client/ReadLastConfirmedOp.java,15,127,9,0,26,1,1,0,14,85,0,25,0,0,0,2,bookkeeper,4.1.0
122,/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,7,79,6,0,79,1,1,0,7,42,0,3,0,0,0,1,bookkeeper,4.1.0
123,/apache/bookkeeper/meta/FlatLedgerManager.java,16,175,4,35,89,1,1,1,16,106,0,35,0,0,0,1,bookkeeper,4.1.0
124,/apache/bookkeeper/meta/HierarchicalLedgerManager.java,54,507,4,58,89,1,1,3,54,321,0,58,0,0,0,3,bookkeeper,4.1.0
125,/apache/bookkeeper/proto/BookieServer.java,69,507,5,46,81,1,1,2,69,390,18,120,95,2,2,5,bookkeeper,4.1.0
126,/apache/bookkeeper/proto/PerChannelBookieClient.java,82,694,41,79,84,1,1,2,82,477,68,85,95,2,2,3,bookkeeper,4.1.0
127,/apache/bookkeeper/util/OrderedSafeExecutor.java,11,98,33,0,90,1,1,0,11,41,0,0,0,0,0,0,bookkeeper,4.1.0
128,/hedwig/client/handlers/MessageConsumeCallback.java,5,96,35,0,28,1,1,0,5,45,0,0,0,0,0,0,bookkeeper,4.1.0
129,/hedwig/client/handlers/SubscribeResponseHandler.java,31,342,13,0,30,2,2,0,31,172,0,78,0,0,0,1,bookkeeper,4.1.0
130,/hedwig/client/netty/HedwigClientImpl.java,37,363,70,16,30,2,2,1,37,178,0,16,0,0,0,1,bookkeeper,4.1.0
131,/hedwig/client/netty/HedwigPublisher.java,24,242,44,13,30,2,2,1,24,132,0,13,0,0,0,1,bookkeeper,4.1.0
132,/hedwig/client/netty/HedwigSubscriber.java,84,682,100,94,30,2,2,3,84,445,0,94,0,0,0,3,bookkeeper,4.1.0
133,/hedwig/client/netty/ResponseHandler.java,41,366,25,2,32,1,1,1,41,202,0,2,0,0,0,1,bookkeeper,4.1.0
134,/hedwig/client/netty/WriteCallback.java,9,103,8,6,28,1,1,1,9,53,0,6,0,0,0,1,bookkeeper,4.1.0
135,/hedwig/server/common/ByteStringInterner.java,3,45,11,0,32,1,1,0,3,18,0,0,0,0,0,0,bookkeeper,4.1.0
136,/hedwig/server/netty/PubSubServer.java,48,436,58,0,58,2,2,0,48,315,0,14,0,0,0,1,bookkeeper,4.1.0
137,/hedwig/server/netty/PubSubServerBean.java,9,77,8,0,83,1,1,0,9,42,0,0,0,0,0,0,bookkeeper,4.1.0
138,/hedwig/server/persistence/BookkeeperPersistenceManager.java,112,906,12,19,77,1,1,1,112,637,0,19,0,0,0,1,bookkeeper,4.1.0
139,/hedwig/server/persistence/ReadAheadCache.java,71,744,2,0,83,1,1,0,70,371,0,4,0,0,0,1,bookkeeper,4.1.0
140,/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,10,108,28,0,133,1,1,0,10,60,56,0,252,2,2,0,bookkeeper,4.2.0
141,/apache/bookkeeper/meta/LedgerManager.java,14,192,25,0,133,1,1,0,0,21,50,0,252,2,2,0,bookkeeper,4.2.0
142,/apache/bookkeeper/meta/MSLedgerManagerFactory.java,84,601,9,691,133,1,1,0,84,474,20,0,378,3,3,0,bookkeeper,4.2.0
143,/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,10,94,9,94,133,1,1,0,10,65,18,0,252,2,2,0,bookkeeper,4.2.0
144,/apache/bookkeeper/proto/BookieServerBean.java,10,91,5,0,50,1,1,0,10,55,10,0,180,2,2,0,bookkeeper,4.2.0
145,/apache/bookkeeper/proto/BookieServerMXBean.java,6,58,5,0,50,1,1,0,0,10,10,0,180,2,2,0,bookkeeper,4.2.0
146,/apache/bookkeeper/replication/Auditor.java,77,503,7,192,53,1,1,0,77,399,81,0,432,4,4,0,bookkeeper,4.2.0
147,/apache/bookkeeper/replication/AuditorElector.java,39,325,3,224,1,1,1,0,39,210,9,0,252,3,3,0,bookkeeper,4.2.0
148,/apache/bookkeeper/replication/ReplicationWorker.java,41,357,2,43,53,1,1,0,41,274,18,0,432,4,4,0,bookkeeper,4.2.0
149,/org/apache/camel/Component.java,2,46,23,0,1048,1,1,0,0,5,0,0,0,0,0,0,camel,2.10.0
150,/org/apache/camel/Exchange.java,38,511,3,9,475.5,1,2,0,0,144,3,0,880,2,2,0,camel,2.10.0
151,/apache/camel/builder/BuilderSupport.java,51,491,2,0,1,1,1,0,51,198,2,0,0,1,1,0,camel,2.10.0
152,/apache/camel/builder/LoggingErrorHandlerBuilder.java,15,99,15,0,1054,1,1,0,15,60,29,0,1888,2,2,0,camel,2.10.0
153,/apache/camel/builder/NotifyBuilder.java,260,1620,147,10,1066.5,1,2,1,253,997,2,10,944,1,1,1,camel,2.10.0
154,/camel/builder/xml/XPathBuilder.java,172,1084,73,0,1021,1,1,0,172,732,73,0,944,1,1,0,camel,2.10.0
155,/camel/component/bean/AbstractCamelInvocationHandler.java,30,217,41,0,1055,1,1,0,30,139,41,0,944,1,1,0,camel,2.10.0
156,/camel/component/bean/BeanInfo.java,150,947,7,14,1047,1,1,1,150,640,7,14,944,1,1,1,camel,2.10.0
157,/camel/component/bean/CamelInvocationHandler.java,3,47,5,0,1055,1,1,0,3,19,5,0,944,1,1,0,camel,2.10.0
158,/camel/component/bean/PojoMessageInvocationHandler.java,5,48,8,0,1055,1,1,0,5,21,8,0,944,1,1,0,camel,2.10.0
159,/camel/component/bean/RegistryBean.java,23,138,2,0,435,1,1,0,23,93,2,0,440,1,1,0,camel,2.10.0
160,/camel/component/file/FileComponent.java,3,62,3,0,441,1,1,0,3,24,3,0,440,1,1,0,camel,2.10.0
161,/camel/component/file/FileConsumer.java,20,167,2,0,1032,1,1,0,20,101,2,5,944,1,1,1,camel,2.10.0
162,/camel/component/file/FileEndpoint.java,23,161,2,1,441,1,1,0,23,99,2,2,440,1,1,1,camel,2.10.0
163,/camel/component/file/FileOperations.java,50,341,8,77,1075,1,1,1,50,242,8,71,944,1,1,2,camel,2.10.0
164,/component/file/strategy/MarkerFileExclusiveReadLockStrategy.java,12,101,18,0,475.5,1,2,0,12,59,18,0,880,2,2,0,camel,2.10.0
165,/camel/component/mock/MockEndpoint.java,199,1316,46,7,432,1,1,0,199,802,46,0,440,1,1,0,camel,2.10.0
166,/camel/component/properties/PropertiesComponent.java,57,377,9,30,471,1,1,0,57,246,9,0,440,1,1,0,camel,2.10.0
167,/camel/component/seda/SedaConsumer.java,45,333,7,44,49,1,1,1,45,217,7,13,48,1,1,1,camel,2.10.0
168,/camel/component/seda/SedaEndpoint.java,65,384,2,42,13,1,1,1,65,279,2,22,13,1,1,1,camel,2.10.0
169,/camel/component/seda/SedaProducer.java,25,198,26,5,13,1,1,1,25,128,26,1,13,1,1,1,camel,2.10.0
170,/camel/component/timer/TimerConsumer.java,18,144,15,13,1036,1,1,1,18,97,15,13,944,1,1,1,camel,2.10.0
171,/camel/component/timer/TimerEndpoint.java,29,183,2,0,1037,1,1,0,29,131,2,0,944,1,1,0,camel,2.10.0
172,/camel/component/validator/ValidatorComponent.java,3,68,3,0,1068,1,1,0,3,35,3,0,944,1,1,0,camel,2.10.0
173,/camel/component/xslt/XsltComponent.java,25,162,4,38,139,1,1,0,25,109,4,0,111,1,1,0,camel,2.10.0
174,/apache/camel/converter/IOConverter.java,66,499,10,66,434,1,1,2,66,330,10,91,440,1,1,3,camel,2.10.0
175,/apache/camel/impl/ConsumerCache.java,27,224,10,0,1063,1,1,0,27,128,10,0,944,1,1,0,camel,2.10.0
176,/apache/camel/impl/DefaultCamelContext.java,433,2484,19,61,1043,2,3,3,433,1773,3,44,944,1,1,4,camel,2.10.0
177,/apache/camel/impl/DefaultComponent.java,41,375,26,4,1048,1,1,0,40,166,0,0,0,0,0,0,camel,2.10.0
178,/apache/camel/impl/ProducerCache.java,63,500,14,3,1061.5,1,2,0,63,273,14,0,1888,2,2,0,camel,2.10.0
179,/apache/camel/impl/ScheduledBatchPollingConsumer.java,12,115,12,0,1018,1,1,0,12,62,12,0,944,1,1,0,camel,2.10.0
180,/camel/impl/converter/AsyncProcessorTypeConverter.java,5,53,2,0,1060,1,1,0,5,23,2,0,944,1,1,0,camel,2.10.0
181,/language/simple/ast/DoubleQuoteStart.java,5,55,11,0,1015,1,1,0,5,27,11,0,944,1,1,0,camel,2.10.0
182,/language/simple/ast/SingleQuoteStart.java,5,55,11,0,1015,1,1,0,5,27,11,0,944,1,1,0,camel,2.10.0
183,/apache/camel/model/MarshalDefinition.java,13,151,2,0,483,1,1,0,13,111,2,0,440,1,1,0,camel,2.10.0
184,/apache/camel/model/OnExceptionDefinition.java,120,902,2,13,1040,1,1,0,120,487,4,0,1888,2,2,0,camel,2.10.0
185,/apache/camel/model/ProcessorDefinition.java,271,3146,27,8,19,1,1,0,269,1305,27,0,13,1,1,0,camel,2.10.0
186,/apache/camel/model/UnmarshalDefinition.java,13,155,2,0,483,1,1,0,13,115,2,0,440,1,1,0,camel,2.10.0
187,/apache/camel/model/WireTapDefinition.java,57,394,12,2,470,1,1,0,57,241,14,0,1384,2,2,0,camel,2.10.0
188,/apache/camel/processor/Enricher.java,25,239,15,11,1,1,1,0,25,125,15,0,0,1,1,0,camel,2.10.0
189,/apache/camel/processor/LoggingErrorHandler.java,2,48,6,0,1054,1,1,0,2,14,6,0,944,1,1,0,camel,2.10.0
190,/apache/camel/processor/MulticastProcessor.java,136,1091,37,35,859.666666667,3,3,1,136,679,37,9,2328,3,3,1,camel,2.10.0
191,/apache/camel/processor/RecipientList.java,41,256,4,0,1051,1,1,0,41,178,4,0,944,1,1,0,camel,2.10.0
192,/apache/camel/processor/SendProcessor.java,24,180,7,0,1060,1,1,0,24,122,7,0,944,1,1,0,camel,2.10.0
193,/apache/camel/processor/TryProcessor.java,65,409,2,4,1061,1,1,1,65,281,2,4,944,1,1,1,camel,2.10.0
194,/camel/processor/aggregate/AggregateProcessor.java,148,1024,3,23,1071,1,1,0,148,701,3,0,944,1,1,0,camel,2.10.0
195,/camel/processor/loadbalancer/RandomLoadBalancer.java,4,44,17,0,1035,1,1,0,4,18,17,0,944,1,1,0,camel,2.10.0
196,/camel/processor/validation/ValidatingProcessor.java,36,238,204,6,1068,1,1,0,36,161,204,0,944,1,1,0,camel,2.10.0
197,/apache/camel/support/DefaultTimeoutMap.java,44,277,14,0,4.5,1,2,0,44,193,14,0,0,2,2,0,camel,2.10.0
198,/apache/camel/util/EventHelper.java,145,610,4,0,35,1,1,0,145,499,4,0,22,1,1,0,camel,2.10.0
199,/apache/camel/util/FileUtil.java,78,444,14,0,1046,1,1,0,78,298,14,0,944,1,1,0,camel,2.10.0
200,/apache/camel/util/ObjectHelper.java,266,1482,14,80,1052.5,2,2,1,266,856,14,43,1888,2,2,3,camel,2.10.0
201,/apache/camel/util/ServiceHelper.java,70,374,15,0,456,1,1,0,70,241,15,0,440,1,1,0,camel,2.10.0
202,/camel/component/ahc/DefaultAhcBinding.java,43,284,2,0,473,1,1,0,43,211,2,0,440,1,1,0,camel,2.10.0
