,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
85,accumulo,/util/shell/commands/ShellPluginConfigurationCommand.java,1.6.0,146,96.0,16,16.0,23,23.0,0,0,0,0,1,1.0,5.0,0.0,1,1.0
86,accumulo,/accumulo/core/volume/VolumeImpl.java,1.6.0,105,65.0,12,12.0,4,4.0,40,0,0,0,1,1.0,149.0,418.0,1,1.0
87,accumulo,/accumulo/minicluster/impl/MiniAccumuloClusterImpl.java,1.6.0,745,512.0,110,94.0,32,38.0,62,32,4,4,1,1.0,23.0,157.0,1,1.0
88,accumulo,/accumulo/minicluster/impl/MiniAccumuloConfigImpl.java,1.6.0,503,233.0,53,51.0,8,8.0,69,20,2,2,1,1.0,1.0,0.0,1,1.0
89,accumulo,/accumulo/minicluster/impl/ProcessReference.java,1.6.0,47,22.0,5,5.0,7,7.0,0,0,0,0,1,1.0,225.0,157.0,1,1.0
90,accumulo,/accumulo/server/fs/VolumeUtil.java,1.6.0,350,245.0,50,50.0,5,10.0,37,0,0,0,1,3.0,225.0,275.0,1,3.0
91,accumulo,/accumulo/server/init/Initialize.java,1.6.0,637,504.0,85,85.0,30,237.0,263,102,2,5,1,3.0,209.0,265.0,1,3.0
92,accumulo,/server/master/recovery/RecoveryPath.java,1.6.0,59,21.0,4,3.0,7,7.0,56,0,0,0,1,1.0,22.0,28.0,1,1.0
93,accumulo,/accumulo/server/tablets/TabletTime.java,1.6.0,232,158.0,44,38.0,1,0.0,0,0,0,0,1,0.0,134.0,0.0,1,0.0
94,accumulo,/accumulo/server/util/LoginProperties.java,1.6.0,59,31.0,4,4.0,4,4.0,0,0,0,0,1,1.0,4.0,0.0,1,1.0
95,accumulo,/apache/accumulo/gc/GarbageCollectWriteAheadLogs.java,1.6.0,402,281.0,60,60.0,8,8.0,346,9,2,3,1,1.0,22.0,28.0,1,1.0
96,accumulo,/apache/accumulo/gc/SimpleGarbageCollector.java,1.6.0,701,490.0,79,79.0,2,85.0,225,41,3,5,1,4.0,154.0,889.0,1,4.0
97,accumulo,/apache/accumulo/master/FateServiceHandler.java,1.6.0,426,333.0,62,62.0,33,0.0,66,523,4,8,1,0.0,143.0,0.0,1,0.0
98,accumulo,/apache/accumulo/master/Master.java,1.6.0,1267,1048.0,232,230.0,85,45.0,170,927,4,9,7,4.0,80.7142857143,265.0,7,4.0
99,accumulo,/accumulo/master/tableOps/BulkImport.java,1.6.0,617,470.0,73,72.0,159,159.0,24,11,1,1,2,2.0,75.0,418.0,2,2.0
100,accumulo,/apache/accumulo/monitor/Monitor.java,1.6.0,754,593.0,91,91.0,65,65.0,24,19,1,2,1,1.0,180.0,418.0,1,1.0
101,accumulo,/accumulo/monitor/servlets/BasicServlet.java,1.6.0,282,226.0,38,37.0,1,1.0,40,10,1,2,1,1.0,180.0,418.0,1,1.0
102,accumulo,/accumulo/monitor/servlets/TServersServlet.java,1.6.0,369,306.0,46,46.0,1,5.0,0,0,0,0,1,2.0,88.0,136.0,1,2.0
103,accumulo,/apache/accumulo/tracer/TraceServer.java,1.6.0,322,270.0,40,40.0,4,4.0,58,2,0,1,1,1.0,4.0,0.0,1,1.0
104,accumulo,/apache/accumulo/tserver/InMemoryMap.java,1.6.0,753,544.0,125,118.0,4,0.0,2,0,0,0,1,0.0,137.0,0.0,1,0.0
105,accumulo,/apache/accumulo/tserver/TabletStatsKeeper.java,1.6.0,113,78.0,17,17.0,1,0.0,0,0,0,0,1,0.0,134.0,0.0,1,0.0
106,accumulo,/accumulo/tserver/log/TabletServerLogger.java,1.6.0,432,316.0,72,69.0,4,0.0,156,20,4,2,1,0.0,209.0,0.0,1,0.0
107,accumulo,/start/classloader/vfs/FinalCloseDefaultFileSystemManager.java,1.6.0,25,7.0,1,1.0,25,25.0,0,0,0,0,1,1.0,162.0,418.0,1,1.0
108,accumulo,/start/classloader/vfs/UniqueFileReplicator.java,1.6.0,102,57.0,12,8.0,4,0.0,39,0,2,0,1,0.0,1.0,0.0,1,0.0
109,bookkeeper,/apache/bookkeeper/benchmark/TestClient.java,4.1.0,36,295.0,0,42.0,41,41.0,462,0,0,0,1,1.0,31.0,20.0,1,1.0
110,bookkeeper,/apache/bookkeeper/bookie/Bookie.java,4.1.0,764,520.0,97,97.0,78,85.0,673,348,4,7,2,3.0,80.5,169.0,2,3.0
111,bookkeeper,/apache/bookkeeper/bookie/BookieShell.java,4.1.0,684,687.0,85,112.0,19,0.0,0,0,0,0,1,0.0,21.0,0.0,1,0.0
112,bookkeeper,/apache/bookkeeper/bookie/EntryLogger.java,4.1.0,482,319.0,64,61.0,15,0.0,247,223,4,5,1,0.0,24.0,0.0,1,0.0
113,bookkeeper,/apache/bookkeeper/bookie/FileSystemUpgrade.java,4.1.0,378,315.0,62,62.0,8,8.0,0,243,0,1,1,1.0,30.0,20.0,1,1.0
114,bookkeeper,/apache/bookkeeper/bookie/GarbageCollectorThread.java,4.1.0,510,321.0,61,61.0,2,22.0,201,162,2,2,1,1.0,27.0,21.0,1,1.0
115,bookkeeper,/apache/bookkeeper/bookie/Journal.java,4.1.0,576,361.0,72,70.0,6,5.0,558,8,1,1,1,1.0,21.0,21.0,1,1.0
116,bookkeeper,/apache/bookkeeper/bookie/LedgerCacheImpl.java,4.1.0,788,611.0,128,128.0,23,23.0,886,174,5,5,1,1.0,80.0,74.0,1,1.0
117,bookkeeper,/apache/bookkeeper/client/LedgerDeleteOp.java,4.1.0,81,24.0,3,3.0,9,0.0,0,0,0,0,1,0.0,90.0,0.0,1,0.0
118,bookkeeper,/apache/bookkeeper/client/LedgerHandle.java,4.1.0,905,531.0,94,94.0,308,0.0,127,156,1,2,3,0.0,85.6666666667,0.0,3,0.0
119,bookkeeper,/apache/bookkeeper/client/LedgerMetadata.java,4.1.0,312,174.0,34,34.0,4,0.0,58,44,1,1,1,0.0,78.0,0.0,1,0.0
120,bookkeeper,/apache/bookkeeper/client/LedgerOpenOp.java,4.1.0,171,105.0,17,17.0,5,0.0,0,8,0,1,1,0.0,90.0,0.0,1,0.0
121,bookkeeper,/apache/bookkeeper/client/ReadLastConfirmedOp.java,4.1.0,127,85.0,15,14.0,9,0.0,0,25,0,2,1,0.0,26.0,0.0,1,0.0
122,bookkeeper,/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,4.1.0,79,42.0,7,7.0,6,0.0,0,3,0,1,1,0.0,79.0,0.0,1,0.0
123,bookkeeper,/apache/bookkeeper/meta/FlatLedgerManager.java,4.1.0,175,106.0,16,16.0,4,0.0,35,35,1,1,1,0.0,89.0,0.0,1,0.0
124,bookkeeper,/apache/bookkeeper/meta/HierarchicalLedgerManager.java,4.1.0,507,321.0,54,54.0,4,0.0,58,58,3,3,1,0.0,89.0,0.0,1,0.0
125,bookkeeper,/apache/bookkeeper/proto/BookieServer.java,4.1.0,507,390.0,69,69.0,5,18.0,46,120,2,5,1,2.0,81.0,95.0,1,2.0
126,bookkeeper,/apache/bookkeeper/proto/PerChannelBookieClient.java,4.1.0,694,477.0,82,82.0,41,68.0,79,85,2,3,1,2.0,84.0,95.0,1,2.0
