,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
59,/client/security/tokens/PasswordToken.java,22.0,156.0,4.0,54.0,44.0,1.0,1.0,1.0,22.0,96.0,0.0,1282.0,0.0,0.0,0.0,18.0,accumulo,1.5.0
60,/accumulo/core/security/Credentials.java,2.0,44.0,7.0,0.0,44.0,1.0,1.0,0.0,2.0,18.0,0.0,332.0,0.0,0.0,0.0,13.0,accumulo,1.5.0
61,/core/security/crypto/CryptoModuleFactory.java,33.0,254.0,29.0,0.0,41.0,1.0,1.0,0.0,33.0,179.0,0.0,476.0,0.0,0.0,0.0,8.0,accumulo,1.5.0
62,/accumulo/core/util/NumUtil.java,7.0,54.0,2.0,54.0,18.0,1.0,1.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,accumulo,1.5.0
63,/accumulo/fate/zookeeper/ZooCache.java,60.0,310.0,7.0,0.0,4.0,1.0,1.0,0.0,59.0,227.0,0.0,2592.0,0.0,0.0,0.0,24.0,accumulo,1.5.0
64,/apache/accumulo/minicluster/MiniAccumuloCluster.java,37.0,332.0,172.0,0.0,19.625,7.0,8.0,0.0,34.0,225.0,4.0,0.0,214.0,2.0,2.0,0.0,accumulo,1.5.0
65,/apache/accumulo/minicluster/MiniAccumuloRunner.java,27.0,209.0,2.0,0.0,7.0,1.0,1.0,0.0,30.0,179.0,0.0,162.0,0.0,0.0,0.0,4.0,accumulo,1.5.0
66,/apache/accumulo/proxy/ProxyServer.java,283.0,1493.0,4.0,2233.0,12.0,1.0,2.0,4.0,280.0,1302.0,4.0,10664.0,0.0,2.0,2.0,64.0,accumulo,1.5.0
67,/server/master/recovery/RecoveryManager.java,19.0,184.0,2.0,24.0,29.0,1.0,1.0,1.0,19.0,144.0,0.0,414.0,0.0,0.0,0.0,8.0,accumulo,1.5.0
68,/server/master/tableOps/CancelCompactions.java,9.0,99.0,2.0,0.0,438.0,1.0,1.0,0.0,9.0,61.0,2.0,155.0,0.0,1.0,1.0,5.0,accumulo,1.5.0
69,/start/classloader/vfs/AccumuloVFSClassLoader.java,52.0,375.0,126.0,366.0,9.5,1.0,2.0,1.0,51.0,274.0,0.0,1539.0,0.0,0.0,0.0,21.0,accumulo,1.5.0
70,/trace/instrument/impl/MilliSpan.java,27.0,141.0,10.0,0.0,441.0,1.0,1.0,0.0,27.0,99.0,0.0,456.0,0.0,0.0,0.0,12.0,accumulo,1.5.0
71,/trace/instrument/impl/RootMilliSpan.java,3.0,43.0,2.0,0.0,441.0,1.0,1.0,0.0,3.0,17.0,0.0,108.0,0.0,0.0,0.0,9.0,accumulo,1.5.0
72,/core/client/impl/TableOperationsImpl.java,239.0,1593.0,6.0,0.0,0.0,1.0,1.0,0.0,238.0,1109.0,27.0,168632.0,157.0,2.0,2.0,108.0,accumulo,1.6.0
73,/core/client/mapreduce/InputTableConfig.java,57.0,367.0,2.0,0.0,10.0,1.0,1.0,0.0,57.0,178.0,2.0,0.0,10.0,1.0,1.0,0.0,accumulo,1.6.0
74,/core/client/mapreduce/RangeInputSplit.java,96.0,522.0,41.0,188.0,189.66666666700002,3.0,3.0,1.0,90.0,382.0,18.0,1354.0,185.0,2.0,2.0,17.0,accumulo,1.6.0
75,/accumulo/core/volume/VolumeImpl.java,12.0,105.0,4.0,40.0,149.0,1.0,1.0,0.0,12.0,65.0,4.0,135.0,418.0,1.0,1.0,5.0,accumulo,1.6.0
76,/accumulo/minicluster/impl/MiniAccumuloClusterImpl.java,110.0,745.0,32.0,62.0,23.0,1.0,1.0,4.0,94.0,512.0,38.0,704.0,157.0,1.0,1.0,12.0,accumulo,1.6.0
77,/accumulo/minicluster/impl/MiniAccumuloConfigImpl.java,53.0,503.0,8.0,69.0,1.0,1.0,1.0,2.0,51.0,233.0,8.0,527.0,0.0,1.0,1.0,11.0,accumulo,1.6.0
78,/accumulo/minicluster/impl/ProcessReference.java,5.0,47.0,7.0,0.0,225.0,1.0,1.0,0.0,5.0,22.0,7.0,0.0,157.0,1.0,1.0,0.0,accumulo,1.6.0
79,/accumulo/server/fs/VolumeUtil.java,50.0,350.0,5.0,37.0,225.0,1.0,1.0,0.0,50.0,245.0,10.0,409.0,275.0,3.0,3.0,7.0,accumulo,1.6.0
80,/accumulo/server/init/Initialize.java,85.0,637.0,30.0,263.0,209.0,1.0,1.0,2.0,85.0,504.0,237.0,5058.0,265.0,3.0,3.0,91.0,accumulo,1.6.0
81,/server/master/recovery/RecoveryPath.java,4.0,59.0,7.0,56.0,22.0,1.0,1.0,0.0,3.0,21.0,7.0,56.0,28.0,1.0,1.0,1.0,accumulo,1.6.0
82,/accumulo/server/tablets/TabletTime.java,44.0,232.0,1.0,0.0,134.0,1.0,1.0,0.0,38.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,accumulo,1.6.0
83,/apache/accumulo/gc/SimpleGarbageCollector.java,79.0,701.0,2.0,225.0,154.0,1.0,1.0,3.0,79.0,490.0,85.0,1975.0,889.0,4.0,4.0,101.0,accumulo,1.6.0
84,/apache/accumulo/master/FateServiceHandler.java,62.0,426.0,33.0,66.0,143.0,1.0,1.0,4.0,62.0,333.0,0.0,766.0,0.0,0.0,0.0,13.0,accumulo,1.6.0
85,/accumulo/master/tableOps/BulkImport.java,73.0,617.0,159.0,24.0,75.0,2.0,2.0,1.0,72.0,470.0,159.0,214.0,418.0,2.0,2.0,79.0,accumulo,1.6.0
86,/apache/accumulo/monitor/Monitor.java,91.0,754.0,65.0,24.0,180.0,1.0,1.0,1.0,91.0,593.0,65.0,837.0,418.0,1.0,1.0,57.0,accumulo,1.6.0
87,/accumulo/monitor/servlets/BasicServlet.java,38.0,282.0,1.0,40.0,180.0,1.0,1.0,1.0,37.0,226.0,1.0,337.0,418.0,1.0,1.0,39.0,accumulo,1.6.0
88,/accumulo/monitor/servlets/TServersServlet.java,46.0,369.0,1.0,0.0,88.0,1.0,1.0,0.0,46.0,306.0,5.0,100.0,136.0,2.0,2.0,25.0,accumulo,1.6.0
89,/apache/accumulo/tracer/TraceServer.java,40.0,322.0,4.0,58.0,4.0,1.0,1.0,0.0,40.0,270.0,4.0,193.0,0.0,1.0,1.0,66.0,accumulo,1.6.0
90,/apache/accumulo/tserver/InMemoryMap.java,125.0,753.0,4.0,2.0,137.0,1.0,1.0,0.0,118.0,544.0,0.0,62.0,0.0,0.0,0.0,25.0,accumulo,1.6.0
91,/apache/accumulo/tserver/TabletStatsKeeper.java,17.0,113.0,1.0,0.0,134.0,1.0,1.0,0.0,17.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,accumulo,1.6.0
92,/accumulo/tserver/log/TabletServerLogger.java,72.0,432.0,4.0,156.0,209.0,1.0,1.0,4.0,69.0,316.0,0.0,288.0,0.0,0.0,0.0,26.0,accumulo,1.6.0
93,/apache/bookkeeper/benchmark/TestClient.java,0.0,36.0,41.0,462.0,31.0,1.0,1.0,0.0,42.0,295.0,41.0,462.0,20.0,1.0,1.0,2.0,bookkeeper,4.1.0
94,/apache/bookkeeper/bookie/Bookie.java,97.0,764.0,78.0,673.0,80.5,2.0,2.0,4.0,97.0,520.0,85.0,1032.0,169.0,3.0,3.0,13.0,bookkeeper,4.1.0
95,/apache/bookkeeper/bookie/BookieShell.java,85.0,684.0,19.0,0.0,21.0,1.0,1.0,0.0,112.0,687.0,0.0,89.0,0.0,0.0,0.0,2.0,bookkeeper,4.1.0
96,/apache/bookkeeper/bookie/EntryLogger.java,64.0,482.0,15.0,247.0,24.0,1.0,1.0,4.0,61.0,319.0,0.0,697.0,0.0,0.0,0.0,9.0,bookkeeper,4.1.0
97,/apache/bookkeeper/bookie/FileSystemUpgrade.java,62.0,378.0,8.0,0.0,30.0,1.0,1.0,0.0,62.0,315.0,8.0,261.0,20.0,1.0,1.0,3.0,bookkeeper,4.1.0
98,/apache/bookkeeper/bookie/GarbageCollectorThread.java,61.0,510.0,2.0,201.0,27.0,1.0,1.0,2.0,61.0,321.0,22.0,581.0,21.0,1.0,1.0,7.0,bookkeeper,4.1.0
99,/apache/bookkeeper/bookie/Journal.java,72.0,576.0,6.0,558.0,21.0,1.0,1.0,1.0,70.0,361.0,5.0,602.0,21.0,1.0,1.0,3.0,bookkeeper,4.1.0
100,/apache/bookkeeper/bookie/LedgerCacheImpl.java,128.0,788.0,23.0,886.0,80.0,1.0,1.0,5.0,128.0,611.0,23.0,894.0,74.0,1.0,1.0,7.0,bookkeeper,4.1.0
101,/apache/bookkeeper/client/LedgerDeleteOp.java,3.0,81.0,9.0,0.0,90.0,1.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,bookkeeper,4.1.0
102,/apache/bookkeeper/client/LedgerHandle.java,94.0,905.0,308.0,127.0,85.6666666667,3.0,3.0,1.0,94.0,531.0,0.0,172.0,0.0,0.0,0.0,4.0,bookkeeper,4.1.0
103,/apache/bookkeeper/client/LedgerMetadata.java,34.0,312.0,4.0,58.0,78.0,1.0,1.0,1.0,34.0,174.0,0.0,60.0,0.0,0.0,0.0,3.0,bookkeeper,4.1.0
104,/apache/bookkeeper/client/LedgerOpenOp.java,17.0,171.0,5.0,0.0,90.0,1.0,1.0,0.0,17.0,105.0,0.0,8.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
105,/apache/bookkeeper/client/ReadLastConfirmedOp.java,15.0,127.0,9.0,0.0,26.0,1.0,1.0,0.0,14.0,85.0,0.0,27.0,0.0,0.0,0.0,3.0,bookkeeper,4.1.0
106,/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,7.0,79.0,6.0,0.0,79.0,1.0,1.0,0.0,7.0,42.0,0.0,3.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
107,/apache/bookkeeper/meta/FlatLedgerManager.java,16.0,175.0,4.0,35.0,89.0,1.0,1.0,1.0,16.0,106.0,0.0,35.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
108,/apache/bookkeeper/meta/HierarchicalLedgerManager.java,54.0,507.0,4.0,58.0,89.0,1.0,1.0,3.0,54.0,321.0,0.0,58.0,0.0,0.0,0.0,3.0,bookkeeper,4.1.0
109,/apache/bookkeeper/proto/BookieServer.java,69.0,507.0,5.0,46.0,81.0,1.0,1.0,2.0,69.0,390.0,18.0,123.0,95.0,2.0,2.0,6.0,bookkeeper,4.1.0
110,/apache/bookkeeper/proto/PerChannelBookieClient.java,82.0,694.0,41.0,79.0,84.0,1.0,1.0,2.0,82.0,477.0,68.0,181.0,95.0,2.0,2.0,5.0,bookkeeper,4.1.0
111,/apache/bookkeeper/util/OrderedSafeExecutor.java,11.0,98.0,33.0,0.0,90.0,1.0,1.0,0.0,11.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,bookkeeper,4.1.0
112,/hedwig/client/handlers/MessageConsumeCallback.java,5.0,96.0,35.0,0.0,28.0,1.0,1.0,0.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,bookkeeper,4.1.0
113,/hedwig/client/handlers/SubscribeResponseHandler.java,31.0,342.0,13.0,0.0,30.0,2.0,2.0,0.0,31.0,172.0,0.0,78.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
114,/hedwig/client/netty/HedwigClientImpl.java,37.0,363.0,70.0,16.0,30.0,2.0,2.0,1.0,37.0,178.0,0.0,16.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
115,/hedwig/client/netty/HedwigPublisher.java,24.0,242.0,44.0,13.0,30.0,2.0,2.0,1.0,24.0,132.0,0.0,13.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
116,/hedwig/client/netty/HedwigSubscriber.java,84.0,682.0,100.0,94.0,30.0,2.0,2.0,3.0,84.0,445.0,0.0,144.0,0.0,0.0,0.0,4.0,bookkeeper,4.1.0
117,/hedwig/client/netty/ResponseHandler.java,41.0,366.0,25.0,2.0,32.0,1.0,1.0,1.0,41.0,202.0,0.0,2.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
118,/hedwig/client/netty/WriteCallback.java,9.0,103.0,8.0,6.0,28.0,1.0,1.0,1.0,9.0,53.0,0.0,12.0,0.0,0.0,0.0,4.0,bookkeeper,4.1.0
119,/hedwig/server/common/ByteStringInterner.java,3.0,45.0,11.0,0.0,32.0,1.0,1.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,bookkeeper,4.1.0
120,/hedwig/server/netty/PubSubServer.java,48.0,436.0,58.0,0.0,58.0,2.0,2.0,0.0,48.0,315.0,0.0,67.0,0.0,0.0,0.0,2.0,bookkeeper,4.1.0
