,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
15336,derby,/store/raw/data/BasePage.java,10.3.1.4,2760,1205.0,277,232.0,0,0.0,38,0,0,0,0,0.0,0.0,0.0,0,0.0
15337,derby,/store/raw/data/BufferedByteHolderInputStream.java,10.3.1.4,67,39.0,8,7.0,0,0.0,9,9,1,1,0,0.0,0.0,0.0,0,0.0
15338,derby,/store/raw/data/ByteHolder.java,10.3.1.4,155,37.0,13,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15339,derby,/store/raw/data/ByteHolderInputStream.java,10.3.1.4,60,30.0,7,7.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15340,derby,/store/raw/data/CachedPage.java,10.3.1.4,919,426.0,63,58.0,119,115.0,0,0,0,0,2,1.0,8.5,3.0,1,1.0
15341,derby,/store/raw/data/ChainAllocPageOperation.java,10.3.1.4,164,84.0,13,13.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15342,derby,/store/raw/data/CompressSpacePageOperation.java,10.3.1.4,229,109.0,15,15.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15343,derby,/store/raw/data/CompressSpacePageOperation10_2.java,10.3.1.4,94,39.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15344,derby,/store/raw/data/ContainerActionOnCommit.java,10.3.1.4,65,20.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15345,derby,/store/raw/data/ContainerBasicOperation.java,10.3.1.4,251,139.0,24,24.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15346,derby,/store/raw/data/ContainerHandleActionOnCommit.java,10.3.1.4,92,41.0,8,7.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15347,derby,/store/raw/data/ContainerOperation.java,10.3.1.4,299,150.0,27,27.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15348,derby,/store/raw/data/ContainerUndoOperation.java,10.3.1.4,156,67.0,12,12.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15349,derby,/store/raw/data/CopyRowsOperation.java,10.3.1.4,325,161.0,26,26.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
