"precision","recall","Fmeasure","AUC","FNrate","FN","TP","TN","FP","model","project","release.train","release.test"
0.101871101871102,0.433628318584071,0.164983164983165,0.735393706765921,0.566371681415929,64,49,2307,432,"rf","camel",1,2
0.209756097560975,0.380530973451327,0.270440251572327,0.803477788870688,0.619469026548673,70,43,2577,162,"glm","camel",1,2
0.164874551971326,0.407079646017699,0.23469387755102,0.804710394272181,0.592920353982301,67,46,2506,233,"nb","camel",1,2
0.0975609756097561,0.424778761061947,0.158677685950413,0.703085875279073,0.575221238938053,65,48,2295,444,"rpart","camel",1,2
0.258503401360544,0.336283185840708,0.292307692307692,0.810686026487285,0.663716814159292,75,38,2630,109,"lda","camel",1,2
0.158682634730539,0.469026548672566,0.237136465324385,0.759662947849322,0.530973451327434,60,53,2458,281,"qda","camel",1,2
0.365269461077844,0.535087719298246,0.434163701067616,0.743544167436134,0.464912280701754,53,61,464,106,"rf","cassandra",0,1
0.714285714285714,0.350877192982456,0.470588235294118,0.800877192982456,0.649122807017544,74,40,554,16,"glm","cassandra",0,1
0.440559440559441,0.552631578947368,0.490272373540856,0.771660510926439,0.447368421052632,51,63,490,80,"nb","cassandra",0,1
0.34965034965035,0.43859649122807,0.389105058365759,0.71516620498615,0.56140350877193,64,50,477,93,"rpart","cassandra",0,1
0.749999999999999,0.184210526315789,0.295774647887324,0.755986457371499,0.815789473684211,93,21,563,7,"lda","cassandra",0,1
0.685714285714286,0.210526315789474,0.322147651006711,0.742074484456756,0.789473684210526,90,24,559,11,"qda","cassandra",0,1
0.347826086956522,0.512820512820513,0.414507772020725,0.730367543683471,0.487179487179487,76,80,616,150,"rf","cassandra",1,2
0.553191489361702,0.333333333333333,0.416,0.792917754569191,0.666666666666667,104,52,724,42,"glm","cassandra",1,2
0.468965517241379,0.435897435897436,0.451827242524917,0.763619702751557,0.564102564102564,88,68,689,77,"nb","cassandra",1,2
0.314079422382672,0.557692307692308,0.401847575057737,0.746866003882975,0.442307692307692,69,87,576,190,"rpart","cassandra",1,2
0.694915254237288,0.262820512820513,0.381395348837209,0.792892649126331,0.737179487179487,115,41,748,18,"lda","cassandra",1,2
0.476635514018691,0.326923076923077,0.387832699619772,0.740911829684676,0.673076923076923,105,51,710,56,"qda","cassandra",1,2
0.121042830540037,0.714285714285714,0.207006369426752,0.820243039897468,0.285714285714286,26,65,1843,472,"rf","cxf",0,1
0.213768115942029,0.648351648351648,0.321525885558583,0.872648517788907,0.351648351648352,32,59,2098,217,"glm","cxf",0,1
0.124343257443082,0.78021978021978,0.214501510574018,0.853986186599577,0.21978021978022,20,71,1815,500,"nb","cxf",0,1
0.140909090909091,0.681318681318681,0.233521657250471,0.787131227304014,0.318681318681319,29,62,1937,378,"rpart","cxf",0,1
0.290816326530612,0.626373626373626,0.397212543554007,0.869639000308547,0.373626373626374,34,57,2176,139,"lda","cxf",0,1
0.210084033613445,0.549450549450549,0.303951367781155,0.859680060759974,0.450549450549451,41,50,2127,188,"qda","cxf",0,1
0.233463035019455,0.352941176470588,0.281030444964871,0.751147335725121,0.647058823529412,110,60,2246,197,"rf","cxf",1,2
0.475409836065574,0.341176470588235,0.397260273972603,0.85416315523344,0.658823529411765,112,58,2379,64,"glm","cxf",1,2
0.442477876106195,0.294117647058824,0.353356890459364,0.84945823601647,0.705882352941176,120,50,2380,63,"nb","cxf",1,2
0.237037037037037,0.376470588235294,0.290909090909091,0.723821964315812,0.623529411764706,106,64,2237,206,"rpart","cxf",1,2
0.5,0.194117647058824,0.279661016949153,0.851890154342539,0.805882352941176,137,33,2410,33,"lda","cxf",1,2
0.455696202531646,0.211764705882353,0.289156626506024,0.850108352796706,0.788235294117647,134,36,2400,43,"qda","cxf",1,2
0.115789473684211,0.517647058823529,0.189247311827957,0.708661794656763,0.482352941176471,41,44,1137,336,"rf","derby",0,1
0.197044334975369,0.470588235294118,0.277777777777778,0.788067569186534,0.529411764705882,45,40,1310,163,"glm","derby",0,1
0.16017316017316,0.435294117647059,0.234177215189873,0.76526097200591,0.564705882352941,48,37,1279,194,"nb","derby",0,1
0.145214521452145,0.517647058823529,0.22680412371134,0.668655405135578,0.482352941176471,41,44,1214,259,"rpart","derby",0,1
0.201086956521739,0.435294117647059,0.275092936802974,0.784090092248712,0.564705882352941,48,37,1326,147,"lda","derby",0,1
0.132352941176471,0.529411764705882,0.211764705882353,0.763843296992932,0.470588235294118,40,45,1178,295,"qda","derby",0,1
0.219123505976096,0.423076923076923,0.288713910761155,0.707979678760199,0.576923076923077,75,55,1303,196,"rf","derby",1,2
0.434782608695652,0.307692307692308,0.360360360360361,0.786732180427978,0.692307692307692,90,40,1447,52,"glm","derby",1,2
0.287081339712919,0.461538461538462,0.353982300884956,0.777998152614564,0.538461538461538,70,60,1350,149,"nb","derby",1,2
0.234567901234568,0.292307692307692,0.26027397260274,0.708184943808693,0.707692307692308,92,38,1375,124,"rpart","derby",1,2
