,id,exp,priority,bfs,project,norm_exp,norm_priority,norm_bfs,cost
6647,PIG-2779,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6648,PIG-2780,351.0,3.0,2,pig,0.8951406649616369,0.5,0.0006459948320413437,0.6912715446298077
6649,PIG-2781,39.0,2.0,2,pig,0.09718670076726343,0.25,0.0006459948320413437,0.06188526209066849
6650,PIG-2782,351.0,3.0,2,pig,0.8951406649616369,0.5,0.0006459948320413437,0.6912715446298077
6651,PIG-2783,317.0,2.0,2,pig,0.8081841432225064,0.25,0.0006459948320413437,0.5194411892503983
6652,PIG-2785,23.0,3.0,2,pig,0.05626598465473146,0.5,0.0006459948320413437,0.043451354233873626
6653,PIG-2787,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6654,PIG-2788,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6655,PIG-2790,351.0,3.0,2,pig,0.8951406649616369,0.5,0.0006459948320413437,0.6912715446298077
6656,PIG-2791,317.0,5.0,2,pig,0.8081841432225064,1.0,0.0006459948320413437,0.8334759766679396
6657,PIG-2806,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6658,PIG-2807,351.0,3.0,2,pig,0.8951406649616369,0.5,0.0006459948320413437,0.6912715446298077
6659,PIG-2809,351.0,3.0,2,pig,0.8951406649616369,0.5,0.0006459948320413437,0.6912715446298077
6660,PIG-2813,6.0,3.0,6,pig,0.01278772378516624,0.5,0.003229974160206718,0.028309215637220695
6661,PIG-2814,39.0,2.0,2,pig,0.09718670076726343,0.25,0.0006459948320413437,0.06188526209066849
6662,PIG-2815,44.0,3.0,10,pig,0.10997442455242967,0.5,0.005813953488372094,0.3219350336418818
6663,PIG-2815,44.0,3.0,10,pig,0.10997442455242967,0.5,0.005813953488372094,0.3219350336418818
6664,PIG-2820,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6665,PIG-2821,317.0,3.0,2,pig,0.8081841432225064,0.5,0.0006459948320413437,0.624119451722912
6666,PIG-2825,44.0,4.0,2,pig,0.10997442455242967,0.75,0.0006459948320413437,0.09974060858230081
6667,PIG-2827,44.0,3.0,16,pig,0.10997442455242967,0.5,0.009689922480620155,0.49969057368954667
6668,PIG-2828,8.0,3.0,2,pig,0.01790281329923274,0.5,0.0006459948320413437,0.013825430892596153
6669,PIG-2832,9.0,3.0,2,pig,0.020460358056265986,0.5,0.0006459948320413437,0.015800492448681317
6670,PIG-2833,6.0,3.0,2,pig,0.01278772378516624,0.5,0.0006459948320413437,0.009875307780425824
6671,PIG-2837,23.0,3.0,2,pig,0.05626598465473146,0.5,0.0006459948320413437,0.043451354233873626
6672,PIG-2839,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6673,PIG-2840,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6674,PIG-2841,3.0,3.0,2,pig,0.005115089514066496,0.5,0.0006459948320413437,0.003950123112170329
6675,PIG-2842,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6676,PIG-2843,3.0,3.0,2,pig,0.005115089514066496,0.5,0.0006459948320413437,0.003950123112170329
6677,PIG-2844,20.0,3.0,4,pig,0.04859335038363172,0.5,0.001937984496124031,0.06517703135081043
6678,PIG-2848,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6679,PIG-2849,3.0,2.0,2,pig,0.005115089514066496,0.25,0.0006459948320413437,0.0026334154081135526
6680,PIG-2851,3.0,3.0,2,pig,0.005115089514066496,0.5,0.0006459948320413437,0.003950123112170329
6681,PIG-2854,23.0,3.0,2,pig,0.05626598465473146,0.5,0.0006459948320413437,0.043451354233873626
6682,PIG-2856,23.0,3.0,2,pig,0.05626598465473146,0.5,0.0006459948320413437,0.043451354233873626
6683,PIG-2859,317.0,2.0,2,pig,0.8081841432225064,0.25,0.0006459948320413437,0.5194411892503983
6684,PIG-2860,44.0,3.0,4,pig,0.10997442455242967,0.5,0.001937984496124031,0.14417949359421703
6685,PIG-2860,44.0,3.0,4,pig,0.10997442455242967,0.5,0.001937984496124031,0.14417949359421703
6686,PIG-2861,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6687,PIG-2866,17.0,2.0,2,pig,0.04092071611253197,0.25,0.0006459948320413437,0.025675800229107145
6688,PIG-2871,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6689,PIG-2873,392.0,2.0,2,pig,1.0000000000000002,0.25,0.0006459948320413437,0.6428825365057211
6690,PIG-2876,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6691,PIG-2878,62.0,3.0,3,pig,0.15601023017902815,0.5,0.0012919896640826872,0.1619550475989835
6692,PIG-2884,3.0,3.0,2,pig,0.005115089514066496,0.5,0.0006459948320413437,0.003950123112170329
6693,PIG-2885,23.0,2.0,2,pig,0.05626598465473146,0.25,0.0006459948320413437,0.03555110800953296
6694,PIG-2886,39.0,2.0,2,pig,0.09718670076726343,0.25,0.0006459948320413437,0.06188526209066849
6695,PIG-2887,61.0,2.0,2,pig,0.15345268542199492,0.25,0.0006459948320413437,0.09809472395222985
6696,PIG-2890,26.0,3.0,2,pig,0.0639386189258312,0.5,0.0006459948320413437,0.04937653890212912
6697,PIG-2896,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6698,PIG-2901,3.0,3.0,2,pig,0.005115089514066496,0.5,0.0006459948320413437,0.003950123112170329
6699,PIG-2912,317.0,3.0,2,pig,0.8081841432225064,0.5,0.0006459948320413437,0.624119451722912
6700,PIG-2917,39.0,3.0,2,pig,0.09718670076726343,0.5,0.0006459948320413437,0.07505233913123625
6701,PIG-2918,39.0,3.0,2,pig,0.09718670076726343,0.5,0.0006459948320413437,0.07505233913123625
6702,PIG-2920,6.0,2.0,2,pig,0.01278772378516624,0.25,0.0006459948320413437,0.007571069298326465
6703,PIG-2924,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6704,PIG-2929,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6705,PIG-2930,351.0,5.0,2,pig,0.8951406649616369,1.0,0.0006459948320413437,0.9230121005438003
6706,PIG-2931,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6707,PIG-2932,61.0,4.0,2,pig,0.15345268542199492,0.75,0.0006459948320413437,0.13891266277798991
6708,PIG-2933,26.0,2.0,2,pig,0.0639386189258312,0.25,0.0006459948320413437,0.04048876189974588
6709,PIG-2935,39.0,4.0,2,pig,0.09718670076726343,0.75,0.0006459948320413437,0.08821941617180402
6710,PIG-2936,44.0,5.0,117,pig,0.10997442455242967,1.0,0.07493540051679587,4.657195149248818
6711,PIG-2936,44.0,5.0,117,pig,0.10997442455242967,1.0,0.07493540051679587,4.657195149248818
6712,PIG-2937,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
