project,major,minor,hash
accumulo,1.0,6.0,93aee7662b7fce724e3ad65184c65882b3fda837
accumulo,1.0,6.0,d77cd3fa14d0d9690ae5b17ad851ba915fffd27f
accumulo,1.0,6.0,ef12e59ecf918299574eef94deb62464fb3f54bd
accumulo,1.0,6.0,344fe21e026ed418c1b43765741900ff14e2b633
accumulo,1.0,6.0,933f833565b017826bcb7a4b978b4bd3eb2f5b87
accumulo,1.0,6.0,77fe4da0713756a00754632eaec26dd5579302f6
accumulo,1.0,6.0,708ad54ecce2ba92d3806c4e7144735bf6ccc271
accumulo,1.0,6.0,f51d7bba06e3b3403d73a2c69962613e486da362
accumulo,1.0,6.0,7461ed9245528ee36c6f33122edb450df6da17a4
accumulo,1.0,6.0,81f4805403007c9d146cf36bbeb64fa5d4614ec8
accumulo,1.0,6.0,f0e29fb1882e8c90280df2e7ca7a55f49196b641
accumulo,1.0,6.0,a694e9ab1894905e3646214d30ed07311de0d4d9
accumulo,1.0,6.0,db102e47012ced5b8e097930e2727566e2e4acd8
accumulo,1.0,6.0,534b0e7fc0f5aff92b8e06b3e1cedcc148755dbe
accumulo,1.0,6.0,4c1e0f204fe287e64bf5fe539d3a6d89c33d0ad3
accumulo,1.0,6.0,eebe4ceb419aab47cfbd159882a03621447bd633
accumulo,1.0,6.0,e8c3a7a9a2f14b9840bd986022f209088f37d735
accumulo,1.0,6.0,c661d91904db8a420f29de25a0206f43ffd928cd
accumulo,1.0,6.0,c8e165a31206e9a64bfd5518c6756884dba72055
accumulo,1.0,6.0,e01c8d99b992795474bf4eac8f9d8a5978f540e4
accumulo,1.0,6.0,d257001db45d3de4b9f21514d11d713e41753778
accumulo,1.0,6.0,479a36bd991e831fba04118c51a605a601a86dec
accumulo,1.0,6.0,066043d4257718921c229ebe55c43d02c5e37fe1
accumulo,1.0,6.0,5363d781d3c7f304765c1bdef93969e84f1d934f
accumulo,1.0,6.0,88f24d2323efd1aa33de1bf2cd5a0241cbd78306
accumulo,1.0,6.0,8d6a4cf69ba9092d03a82b5b56cfc0e2b8438294
accumulo,1.0,6.0,ab41a5f861bfaaca39f0f13d2ae0c40a7b05a15d
accumulo,1.0,6.0,f5a94f041ebe6b2b14624e4a6d25625bda6b5df9
accumulo,1.0,6.0,a904f69110942bd139e701d617d0aa3b647001f8
accumulo,1.0,6.0,c60e3e593809b67b194a4e377e03bdcdb5c8e844
accumulo,1.0,6.0,71475cf87596e9d4d85d54e6565b1a5c70dcf88d
accumulo,1.0,6.0,de7f591ab6f818e1967f0d4d0e266a803b6f086d
accumulo,1.0,6.0,13561ebbb7480c18df3538c1eed04e8f218cfca2
accumulo,1.0,6.0,527913a317eaff502cbf16a8cc8aba810bb20b0a
accumulo,1.0,6.0,83e65f279e82759cf91d4d487c9e305b9515e4f0
accumulo,1.0,6.0,d137a4f9e49ca05c4967ac3ed09ba3e3206b2ec6
accumulo,1.0,6.0,2c1454e73f50a1e5fa2183deb193f58d6a8337a8
accumulo,1.0,6.0,f8ca8d34d9f1848c843c7f1faecee3fedb99d177
accumulo,1.0,6.0,44f72a8470f22ef83077a0e75ecc14af20377620
accumulo,1.0,6.0,aaa8afb9fe28d6af3437428dc30490fc079f2836
accumulo,1.0,6.0,e2552a89f4436292817e1bf94aa0cfa4f7e88339
accumulo,1.0,6.0,09388f5671a3979c3c83c5de8f63eb55a3e83fcb
accumulo,1.0,6.0,d896bf37d2dcf1834e32425b7364e6d5963e4c12
accumulo,1.0,6.0,a1814fc0dbdf0fb095ad87385dfb133c5a1f35df
accumulo,1.0,6.0,3a1b38719c69d34abb27e181fce3bfdb7758bf92
accumulo,1.0,6.0,7ac4b54a76b85314a483378e01980c73f891a900
accumulo,1.0,6.0,7a68838ac5650dbc1bfe64818506875c4dacc099
accumulo,1.0,6.0,4956b15a6f86bca303074b907b2e62f783d395bf
accumulo,1.0,6.0,4a77566a314aaa6c2086d8d07d228a073a437777
accumulo,1.0,6.0,67c15ffa24d2515e5e39562d2128e96094598492
accumulo,1.0,6.0,f7d87b6e407de6597b6c0ca60ca1b6a321faf237
accumulo,1.0,6.0,07ee516e9ad6a1eab8cefdd7b380b42dcd5de472
accumulo,1.0,6.0,fff852fce6d971e7e76c91ae911fbfca2e26426b
accumulo,1.0,6.0,dc51833106bbcd600e2a7dfd2fc9e125e0794396
accumulo,1.0,6.0,dda2fb06ba6452d5af6bda3809684ec2f3413022
accumulo,1.0,6.0,f4a9626a5a5e2a66c201218b13aeef558b63506c
accumulo,1.0,6.0,0d2cd1c06cef923aa4026d9bee3df1966ee50d9c
accumulo,1.0,6.0,9e5854fb3ff90c0e80523394401f4103eb4212a2
accumulo,1.0,6.0,d2089c898c64ce2ac6588b9052505dc4c49d971f
accumulo,1.0,6.0,a20e19fc4f7c7989ba1b50459d9f762063e3e631
accumulo,1.0,6.0,04281228716d3981d88c4769083c4f2f307343fd
accumulo,1.0,6.0,40299f89a3aa6a45101cb993df89c9551529b8dc
accumulo,1.0,6.0,3bf24042955db5cc05e0ddb5cbee7d0e5d1a1474
accumulo,1.0,6.0,67a11a8d90086ac39e484edf2401d1ecbafe52d6
accumulo,1.0,6.0,4ee0f6494ea0d2265d930bce962ebcc3c7dbfe5c
accumulo,1.0,6.0,9550296c82d338c3def77515dc665a18e3e90af9
accumulo,1.0,6.0,f3f54806d8af1bb12da549260338977ffd370e5d
accumulo,1.0,6.0,f857e20e8d92eb8c9a7238704a25ac323a3a0336
accumulo,1.0,6.0,9678a2c51a33cc8c58969450e81c0acf40714930
accumulo,1.0,6.0,74ffff1a189c807995c33d400aca4fed7b183d38
accumulo,1.0,6.0,6420dd3d49c97ee5c9a5e173914ca5374a26c8e5
accumulo,1.0,6.0,ce38eeadc41782fd62a0d46e63cbad93f7c997f6
accumulo,1.0,6.0,55b17e476686e846cdfd519393ef506e8a35a234
accumulo,1.0,6.0,1c516193342acfa838df25bc880e3c594a659282
