"precision","recall","Fmeasure","AUC","FNrate","FN","TP","TN","FP","model","project","release.train","release.test"
0.356060606060606,0.516483516483517,0.42152466367713,0.821106970782997,0.483516483516483,44,47,2230,85,"rpart","cxf",0,1
0.364406779661017,0.472527472527473,0.411483253588517,0.871181734032706,0.527472527472527,48,43,2240,75,"lda","cxf",0,1
0.255434782608696,0.516483516483517,0.341818181818182,0.863259203000024,0.483516483516483,44,47,2178,137,"qda","cxf",0,1
0.708333333333334,0.1,0.175257731958763,0.762153572030531,0.9,153,17,2436,7,"rf","cxf",1,2
0.631578947368422,0.0705882352941176,0.126984126984127,0.830727649225879,0.929411764705882,158,12,2436,7,"glm","cxf",1,2
0.385321100917432,0.247058823529412,0.301075268817204,0.847556042474296,0.752941176470588,128,42,2376,67,"nb","cxf",1,2
0.666666666666667,0.0705882352941176,0.127659574468085,0.341987912643567,0.929411764705882,158,12,2437,6,"rpart","cxf",1,2
0.521739130434783,0.141176470588235,0.222222222222222,0.83079506874383,0.858823529411765,146,24,2421,22,"lda","cxf",1,2
0.365384615384616,0.223529411764706,0.277372262773723,0.835780501312273,0.776470588235294,132,38,2377,66,"qda","cxf",1,2
0.285714285714286,0.235294117647059,0.258064516129032,0.778020047122719,0.764705882352941,65,20,1423,50,"rf","derby",0,1
0.309859154929577,0.258823529411765,0.282051282051282,0.782892057026477,0.741176470588235,63,22,1424,49,"glm","derby",0,1
0.165217391304348,0.447058823529412,0.241269841269841,0.760337047242522,0.552941176470588,47,38,1281,192,"nb","derby",0,1
0.269230769230769,0.247058823529412,0.257668711656442,0.713537798011261,0.752941176470588,64,21,1416,57,"rpart","derby",0,1
0.28,0.329411764705882,0.302702702702703,0.781973563356096,0.670588235294118,57,28,1401,72,"lda","derby",0,1
0.168224299065421,0.423529411764706,0.240802675585284,0.760888143444751,0.576470588235294,49,36,1295,178,"qda","derby",0,1
0.666666666666671,0.0615384615384615,0.112676056338028,0.755003335557038,0.938461538461538,122,8,1495,4,"rf","derby",1,2
0.631578947368422,0.0923076923076923,0.161073825503356,0.766806075845435,0.907692307692308,118,12,1492,7,"glm","derby",1,2
0.508474576271187,0.230769230769231,0.317460317460318,0.720688151075076,0.769230769230769,100,30,1470,29,"nb","derby",1,2
0.63636363636364,0.0538461538461538,0.099290780141844,0.459698773541335,0.946153846153846,123,7,1495,4,"rpart","derby",1,2
0.549019607843137,0.215384615384615,0.30939226519337,0.773795350746652,0.784615384615385,102,28,1476,23,"lda","derby",1,2
0.36144578313253,0.230769230769231,0.28169014084507,0.749332888592395,0.769230769230769,100,30,1446,53,"qda","derby",1,2
0.777777777777771,0.0334928229665072,0.0642201834862385,0.705771935212725,0.966507177033493,202,7,2366,2,"rf","felix",0,1
1,0.0382775119617225,0.0737327188940092,0.84984401267296,0.961722488038278,201,8,2368,0,"glm","felix",0,1
0.554054054054053,0.196172248803828,0.289752650176678,0.786139758179232,0.803827751196172,168,41,2335,33,"nb","felix",0,1
1,0.00956937799043062,0.018957345971564,0.417219626923574,0.990430622009569,207,2,2368,0,"rpart","felix",0,1
0.807692307692306,0.100478468899522,0.178723404255319,0.85095936247252,0.899521531100478,188,21,2363,5,"lda","felix",0,1
0.551282051282052,0.205741626794258,0.299651567944251,0.838258114573904,0.794258373205742,166,43,2333,35,"qda","felix",0,1
0.540983606557378,0.428571428571429,0.478260869565218,0.840303189750704,0.571428571428571,88,66,3202,56,"rf","felix",1,2
0.477272727272727,0.409090909090909,0.440559440559441,0.865930417035389,0.590909090909091,91,63,3189,69,"glm","felix",1,2
0.243107769423559,0.62987012987013,0.350813743218807,0.816180749882407,0.37012987012987,57,97,2956,302,"nb","felix",1,2
0.623376623376622,0.311688311688312,0.415584415584415,0.290065214098363,0.688311688311688,106,48,3229,29,"rpart","felix",1,2
0.358490566037736,0.493506493506494,0.415300546448087,0.862657753541731,0.506493506493507,78,76,3122,136,"lda","felix",1,2
0.263586956521739,0.62987012987013,0.371647509578544,0.832107579345148,0.37012987012987,57,97,2987,271,"qda","felix",1,2
0.840000000000001,0.0945945945945946,0.17004048582996,0.756215949150732,0.905405405405405,201,21,2020,4,"rf","hive",0,1
0.870967741935485,0.121621621621622,0.213438735177866,0.811172461987679,0.878378378378378,195,27,2020,4,"glm","hive",0,1
0.48951048951049,0.315315315315315,0.383561643835617,0.812303039205213,0.684684684684685,152,70,1951,73,"nb","hive",0,1
0.588235294117647,0.135135135135135,0.21978021978022,0.334278077484599,0.864864864864865,192,30,2003,21,"rpart","hive",0,1
0.67816091954023,0.265765765765766,0.381877022653722,0.810444708542535,0.734234234234234,163,59,1996,28,"lda","hive",0,1
0.542253521126761,0.346846846846847,0.423076923076923,0.797634467471424,0.653153153153153,145,77,1959,65,"qda","hive",0,1
0.485981308411215,0.247619047619048,0.32807570977918,0.776040903540904,0.752380952380952,158,52,2285,55,"rf","hive",1,2
0.5,0.219047619047619,0.304635761589404,0.807327024827025,0.780952380952381,164,46,2294,46,"glm","hive",1,2
0.41566265060241,0.328571428571429,0.367021276595745,0.820756003256003,0.671428571428571,141,69,2243,97,"nb","hive",1,2
0.52127659574468,0.233333333333333,0.322368421052631,0.369291819291819,0.766666666666667,161,49,2295,45,"rpart","hive",1,2
0.486486486486486,0.257142857142857,0.336448598130841,0.810896418396418,0.742857142857143,156,54,2283,57,"lda","hive",1,2
0.411428571428572,0.342857142857143,0.374025974025974,0.749378306878307,0.657142857142857,138,72,2237,103,"qda","hive",1,2
